"Title","Description","GroupID"
"test_2024_?0116.MA_10_??????? ?????????? [oghw3dz]","''","Microsoft.Teams.PowerShell.TeamsCmdlets.Model.TeamSettings"
"test_2024_?0116.MA_11_?????? ???????? ??? ??????????? ?????????? [0h5yj15]","''","Microsoft.Teams.PowerShell.TeamsCmdlets.Model.TeamSettings"
"test_2024_?0116.MA_16_????????????? ?????????? [xqo7ko8]","''","Microsoft.Teams.PowerShell.TeamsCmdlets.Model.TeamSettings"
"test_2024_?0116.MA_6_?????????? ??? ???????????? [5kqnwqs]","''","Microsoft.Teams.PowerShell.TeamsCmdlets.Model.TeamSettings"
